uRef(m/s) ,1:Time(s),2:Power(kW),3:Thrust(kN),4:WSpeed(m/s),5:WindDir(deg),6:Torque(kNm),7:RotSpeed(RPM),8:Pitch(deg),9:YawOffset(deg),10:NacelleYaw(deg)
3.5    4000.000000         10.747583          3.563054       3.568922     180.000000          5.506994      18.636639       1.664100       0.000000     183.000000,,,,,,,,,,
4.0    4000.000000         15.475352          4.532657       4.019096     180.000000          7.063848      20.920429       1.664100       0.000000     183.000000,,,,,,,,,,
4.5    4000.000000         21.346290          5.608239       4.462273     180.000000          8.785470      23.202181       1.664100       0.000000     183.000000,,,,,,,,,,
5.0    4000.000000         28.656070          6.816434       4.912162     180.000000         10.723413      25.518491       1.664100       0.000000     183.000000,,,,,,,,,,
5.5    4000.000000         37.793244          8.190070       5.377250     180.000000         12.925316      27.921862       1.664100       0.000000     183.000000,,,,,,,,,,
6.0    4000.000000         47.380716          9.514967       5.788782     180.000000         15.056250      30.050810       1.664100       0.000000     183.000000,,,,,,,,,,
6.5    4000.000000         58.915590         10.995165       6.216131     180.000000         17.438220      32.262607       1.664100       0.000000     183.000000,,,,,,,,,,
6.8    4000.000000         67.667611         12.054905       6.505555     180.000000         19.139557      33.761392       1.664100       0.000000     183.000000,,,,,,,,,,
6.9    4000.000000         70.887438         12.433138       6.605843     180.000000         19.746519      34.280734       1.664100       0.000000     183.000000,,,,,,,,,,
7.0    4000.000000         74.236295         12.820490       6.706988     180.000000         20.368174      34.804514       1.664100       0.000000     183.000000,,,,,,,,,,
7.1    4000.000000         77.694289         13.214387       6.808293     180.000000         21.000403      35.329122       1.664100       0.000000     183.000000,,,,,,,,,,
7.2    4000.000000         81.243298         13.612584       6.909163     180.000000         21.639731      35.851479       1.664100       0.000000     183.000000,,,,,,,,,,
7.3    4000.000000         84.866809         14.013154       7.009130     180.000000         22.283121      36.369157       1.664100       0.000000     183.000000,,,,,,,,,,
