uRef(m/s) ,1:Time(s),2:Power(kW),3:Thrust(kN),4:WSpeed(m/s),5:WindDir(deg),6:Torque(kNm),7:RotSpeed(RPM),8:Pitch(deg),9:YawOffset(deg),10:NacelleYaw(deg)
4.5 4000.000000         53.361489         10.327747       6.063243     180.000000         16.191630      31.470871       1.664100       0.000000     183.000000,,,,,,,,,,
5.0 4000.000000         77.833213         13.276646       6.870018     180.000000         20.849319      35.648764       1.664100       0.000000     183.000000,,,,,,,,,,
5.5 4000.000000        108.894778         16.602709       7.679445     180.000000         26.100859      39.840395       1.664100       0.000000     183.000000,,,,,,,,,,
6.0 4000.000000        138.592630         19.337425       8.373692     180.000000         31.279235      42.311205       1.664100       0.000000     183.000000,,,,,,,,,,
6.1 4000.000000        144.009734         19.778917       8.501767     180.000000         32.316242      42.554194       1.664100       0.000000     183.000000,,,,,,,,,,
6.2 4000.000000        149.446089         20.214531       8.628073     180.000000         33.348385      42.793827       1.664100       0.000000     183.000000,,,,,,,,,,
6.3 4000.000000        154.962739         20.649585       8.753813     180.000000         34.387709      43.032385       1.664100       0.000000     183.000000,,,,,,,,,,
6.4 4000.000000        160.593114         21.086562       8.879872     180.000000         35.440175      43.271549       1.664100       0.000000     183.000000,,,,,,,,,,
6.5 4000.000000        166.373507         21.528001       9.007197     180.000000         36.511979      43.513116       1.664100       0.000000     183.000000,,,,,,,,,,
